PASSENGERS,ORIGIN_AIRPORT_ID,ORIGIN,MONTH
6292,14747,SEA,3
6292,13204,MCO,9
6292,12889,LAS,1
6292,10693,BNA,3
6292,12892,LAX,5
6293,13487,MSP,9
6293,14771,SFO,10
6293,10397,ATL,8
6294,12266,IAH,9
6294,10397,ATL,1
6295,13303,MIA,6
6295,10721,BOS,2
6296,12264,IAD,1
6296,11697,FLL,6
6296,12266,IAH,8
6296,14679,SAN,1
6297,11042,CLE,5
6297,14107,PHX,6
6297,10397,ATL,1
6297,12266,IAH,6
6297,13487,MSP,8
6298,10599,BHM,6
6298,14576,ROC,9
6299,10821,BWI,3
6299,13303,MIA,9
6299,11995,GSO,3
6299,11603,EUG,4
6299,14831,SJC,9
6300,11003,CID,1
6300,12339,IND,7
6301,11278,DCA,3
6301,10397,ATL,2
6302,14635,RSW,2
6302,12992,LIT,7
6303,11278,DCA,10
6303,11433,DTW,3
6303,11298,DFW,3
6304,14107,PHX,6
6305,11618,EWR,2
6305,13930,ORD,4
6306,15016,STL,7
6306,10140,ABQ,2
6306,13232,MDW,2
6307,10721,BOS,2
6307,12953,LGA,2
6307,11618,EWR,6
6308,15304,TPA,3
6308,12451,JAX,7
6308,11433,DTW,3
6308,11648,FCA,7
6308,14908,SNA,10
6308,11433,DTW,3
6309,12266,IAH,10
6309,11057,CLT,2
6309,11298,DFW,8
6309,16218,YUM,10
6309,10693,BNA,8
6309,10397,ATL,5
6310,13232,MDW,3
6310,13830,OGG,1
6310,10208,AGS,2
6311,13487,MSP,7
6311,15919,XNA,10
6311,15304,TPA,2
6311,10397,ATL,8
6311,12264,IAD,9
6311,15304,TPA,6
6311,14027,PBI,7
6312,12892,LAX,1
6312,11433,DTW,1
6312,13198,MCI,3
6313,12992,LIT,6
6313,13303,MIA,8
6313,11042,CLE,9
6313,11193,CVG,8
6313,10397,ATL,6
6314,12953,LGA,4
6315,13232,MDW,7
6315,13495,MSY,4
6315,13931,ORF,5
6315,10397,ATL,3
6315,12266,IAH,7
6316,11259,DAL,9
6316,10693,BNA,5
6316,10397,ATL,3
6317,10397,ATL,9
6317,14122,PIT,6
6317,11697,FLL,2
6317,13930,ORD,3
6317,10423,AUS,8
6317,10423,AUS,4
6318,12264,IAD,5
6318,10529,BDL,9
6318,14307,PVD,9
6318,12953,LGA,7
6319,13487,MSP,7
6319,12953,LGA,9
6319,10299,ANC,5
6319,13796,OAK,6
6319,13487,MSP,1
6319,14057,PDX,1
6320,14262,PSP,3
6320,11695,FLG,5
6320,13830,OGG,3
6320,13930,ORD,7
6321,11433,DTW,4
6321,13930,ORD,6
6321,14771,SFO,2
6322,10721,BOS,4
6323,13851,OKC,10
6323,13487,MSP,5
6323,11540,ELP,2
6323,10713,BOI,4
6324,13871,OMA,8
6324,10599,BHM,9
6324,14635,RSW,1
6324,11775,FSD,7
6324,11057,CLT,7
6324,12892,LAX,9
6325,10693,BNA,8
6325,10529,BDL,1
6325,13264,MFR,7
6325,13830,OGG,9
6326,11057,CLT,8
6326,11695,FLG,6
6326,11298,DFW,9
6326,15376,TUS,7
6326,10693,BNA,6
6326,13931,ORF,10
6327,14107,PHX,5
6327,13244,MEM,10
6328,11618,EWR,8
6328,14893,SMF,1
6328,11292,DEN,4
6328,14492,RDU,5
6328,10713,BOI,7
6329,14122,PIT,4
6329,11057,CLT,9
6329,10397,ATL,9
6329,11869,GCN,8
6329,14193,PNS,6
6329,11259,DAL,1
6330,12889,LAS,7
6330,13232,MDW,9
6330,15016,STL,3
6330,13930,ORD,6
6330,12892,LAX,8
6331,13485,MSN,8
6331,14254,PSE,7
6331,11067,CMI,9
6331,14107,PHX,7
6331,11278,DCA,8
6331,15412,TYS,2
6332,13495,MSY,4
6332,12889,LAS,3
6332,12191,HOU,7
6332,11042,CLE,1
6333,14122,PIT,1
6333,12478,JFK,3
6333,11697,FLL,1
6333,13930,ORD,6
6333,11057,CLT,5
6334,11618,EWR,1
6335,13198,MCI,7
6335,11697,FLL,3
6335,10423,AUS,10
6335,14057,PDX,1
6335,13139,LYH,7
6335,14107,PHX,4
6336,12478,JFK,1
6336,10721,BOS,4
6336,13930,ORD,4
6337,10693,BNA,7
6337,11433,DTW,2
6337,12889,LAS,6
6337,13198,MCI,6
6337,11433,DTW,5
6338,11066,CMH,10
6338,12391,ISP,4
6338,13931,ORF,3
6338,14771,SFO,9
6338,10140,ABQ,8
6338,12197,HPN,4
6339,11869,GCN,9
6339,10397,ATL,6
6339,10721,BOS,3
6339,13930,ORD,10
6340,14107,PHX,8
6340,13495,MSY,9
6340,14576,ROC,8
6340,12523,JNU,2
6341,11298,DFW,4
6341,10792,BUF,4
6341,11298,DFW,1
6341,13930,ORD,3
6341,14635,RSW,6
6342,10792,BUF,4
6342,13930,ORD,10
6342,14843,SJU,3
6342,12889,LAS,4
6342,10257,ALB,3
6343,11259,DAL,10
6343,13232,MDW,4
6343,13796,OAK,2
6343,12889,LAS,2
6343,13830,OGG,10
6344,10821,BWI,5
6344,10397,ATL,10
6344,11003,CID,6
6344,10693,BNA,4
6344,12982,LIH,7
6344,14683,SAT,4
6344,12892,LAX,9
6346,14122,PIT,8
6346,10980,CHA,8
6346,10721,BOS,10
6346,10821,BWI,9
6347,11057,CLT,6
6347,12264,IAD,10
6347,11618,EWR,10
6347,12391,ISP,3
6348,12892,LAX,3
6348,11624,EYW,8
6348,12191,HOU,5
6348,10666,BLI,1
6348,13487,MSP,1
6348,12339,IND,7
6348,13264,MFR,9
6349,11193,CVG,9
6349,13796,OAK,4
6349,14831,SJC,2
6349,10693,BNA,5
6349,14683,SAT,6
6349,14635,RSW,1
6349,13871,OMA,8
6349,14831,SJC,5
6349,11057,CLT,4
6349,14908,SNA,6
6350,11292,DEN,10
6350,13930,ORD,2
6350,13232,MDW,7
6352,13830,OGG,4
6352,12758,KOA,4
6352,15919,XNA,10
6352,14683,SAT,2
6352,13232,MDW,10
6352,12478,JFK,2
6352,12478,JFK,9
6353,15024,STT,7
6353,11298,DFW,1
6353,11618,EWR,10
6353,15919,XNA,3
6354,13930,ORD,9
6354,14683,SAT,3
6354,14262,PSP,2
6354,11292,DEN,2
6354,11618,EWR,10
6354,14683,SAT,9
6354,14908,SNA,4
6355,13930,ORD,10
6355,12945,LEX,3
6355,12982,LIH,4
6356,11618,EWR,3
6356,10821,BWI,1
6356,13930,ORD,9
6356,11298,DFW,9
6356,13495,MSY,2
6357,14869,SLC,1
6357,14100,PHL,3
6357,11298,DFW,2
6357,11298,DFW,6
6357,10849,BZN,7
6357,13930,ORD,7
6357,11481,ECP,8
6357,12478,JFK,10
6358,12982,LIH,1
6358,10599,BHM,5
6358,10299,ANC,6
6358,10620,BIL,6
6359,10821,BWI,1
6359,13891,ONT,2
6359,11298,DFW,6
6359,12339,IND,8
6359,11292,DEN,10
6360,14193,PNS,3
6360,12954,LGB,1
6360,12892,LAX,7
6361,12945,LEX,10
6361,14098,PHF,6
6361,12892,LAX,10
6361,12478,JFK,8
6362,11697,FLL,1
6362,10599,BHM,6
6363,14683,SAT,3
6363,11259,DAL,10
6364,10397,ATL,1
6364,11278,DCA,10
6365,14679,SAN,7
6365,15016,STL,5
6365,14683,SAT,8
6366,11433,DTW,7
6366,11278,DCA,10
6367,14831,SJC,3
6367,14492,RDU,8
6367,11697,FLL,3
6368,12266,IAH,6
6368,13487,MSP,5
6368,14100,PHL,9
6368,13930,ORD,8
6368,11057,CLT,3
6368,12217,HSV,5
6368,14321,PWM,4
6369,12191,HOU,5
6369,12264,IAD,6
6370,13264,MFR,8
6370,13204,MCO,8
6370,13303,MIA,4
6370,14869,SLC,1
